"Census_RaceEthCode","Census_Description"
"5000:5009","AMERICAN INDIAN OR ALASKA NATIVE"
"5001","AMERICAN INDIAN OR ALASKA NATIVE"
"5001","AIAN"
"5010:5499","ALASKA NATIVE TRIBES AND VILLAGES"
"5010:5019","ALASKA NATIVE (NOT SPECIFIED)"
"5010","ALASKA INDIAN"
"5011","ALASKA NATIVE"
"5011","ALASKAN"
"5011","ALASKAN NATIVE"
"5011","NATIVA DE ALASKA"
"5020:5499","ALASKA NATIVE"
"5020","ALASKAN ATHABASCAN"
"5020","ATHABASCAN"
"5020","ATHABASCAN INDIAN"
"5020","ATHABASKAN"
"5020","DENAINA"
"5020","DENA'INA"
"5020","DENA'INA ATHABASCAN"
"5020","GWICH'IN"
"5020","GWICH'IN ATHABASCAN"
"5021","AHTNA, INCORPORATED"
"5021","AHTNA"
"5021","AHTNA, INC. CORPORATION"
"5021","SLANA"
"5023","ALATNA VILLAGE"
"5023","ALATNA"
"5023","ALATNA TRIBAL COUNCIL"
"5024","ALEXANDER CREEK"
"5025","ALLAKAKET VILLAGE"
"5025","ALLAKAKET"
"5026","ANVIK VILLAGE"
"5026","ANVIK"
"5026","DELOY GES CORP."
"5028","BEAVER VILLAGE"
"5028","BEAVER KWIT'CHIN  CORP."
"5028","BEAVER VILLAGE COUNCIL"
"5029","BIRCH CREEK TRIBE"
"5029","BIRCH CREEK"
"5029","BIRCH CREEK TRIBAL COUNCIL"
"5029","DENDU GWICHIN"
"5029","TIHTEET'AII, INC."
"5030","CHALKYITSIK VILLAGE"
"5030","CHALKYITSIK"
"5030","CHALKYITSIK NATIVE CORP."
"5031","CHEESH-NA TRIBE"
"5031","CHEESH-NA"
"5031","CHEESH-NA TRIBE (CHISTOCHINA)"
"5031","CHISTOCHINA"
"5031","NATIVE VILLAGE OF CHISTOCHINA"
"5032","CHICKALOON NATIVE VILLAGE"
"5032","CHICKALOON"
"5032","CHICKALOON-MOOSE CREEK NATIVE ASSN., INC."
"5033","CIRCLE NATIVE COMMUNITY"
"5033","CIRCLE"
"5033","DANZHIT HANLAII CORP."
"5034","COOK INLET REGION, INCORPORATED"
"5034","CIRI"
"5034","CIRI (COOK INLET REGION INC)"
"5034","COOK INLET"
"5034","COOK INLET REGION INC"
"5035","COPPER RIVER"
"5036","DOYON, LIMITED"
"5036","DOYON"
"5036","DOYON LTD (LIMITED)"
"5036","GANA-A'YOO LIMITED"
"5036","K'OYITL'OTS'INA LIMITED"
"5036","MTNT LIMITED"
"5037","EKLUTNA NATIVE VILLAGE"
"5037","EKLUTNA"
"5037","EKLUTNA, INC."
"5038","EVANSVILLE VILLAGE (BETTLES FIELD)"
"5038","BETTLES FIELD"
"5038","EVANSVILLE"
"5038","EVANSVILLE, INC."
"5038","EVANSVILLE VILLAGE"
"5039","LOUDEN TRIBE"
"5039","GALENA VILLAGE"
"5039","GALENA VILLAGE (LOUDEN VILLAGE)"
"5039","LOUDEN VILLAGE"
"5040","GULKANA VILLAGE COUNCIL"
"5040","GULKANA"
"5041","HEALY LAKE VILLAGE"
"5041","HEALY LAKE"
"5041","MENDAS CHA-AG"
"5041","MENDAS CHA-AG NATIVE CORP."
"5042","HOLY CROSS TRIBE"
"5042","DELOYCHEET, INC."
"5042","HOLY CROSS"
"5042","HOLY CROSS VILLAGE"
"5043","HUGHES VILLAGE"
"5043","HUTODLEEKKAAKKET"
"5044","HUSLIA VILLAGE"
"5044","HUSLIA"
"5045","KNIK TRIBE"
"5045","KNIK"
"5046","KOYUKUK NATIVE VILLAGE"
"5046","KOYUKUK"
"5048","LIME VILLAGE"
"5048","LIME"
"5048","LIME VILLAGE COMPANY"
"5049","MANLEY HOT SPRINGS VILLAGE"
"5049","BEAN RIDGE CORP."
"5049","MANLEY HOT SPRINGS"
"5049","MANLEY VILLAGE COUNCIL"
"5050","MCGRATH NATIVE VILLAGE"
"5051","MENTASTA TRADITIONAL COUNCIL"
"5051","MENTASTA"
"5051","MENTASTA LAKE"
"5052","NATIVE VILLAGE OF CANTWELL"
"5053","NATIVE VILLAGE OF CHITINA"
"5053","CHITINA"
"5053","CHITINA NATIVE CORP."
"5054","NATIVE VILLAGE OF EAGLE"
"5054","HUNGWITCHIN CORP."
"5055","NATIVE VILLAGE OF FORT YUKON"
"5055","FORT YUKON"
"5055","GWITCHYAA ZHEE CORP."
"5055","GZ CORP"
"5056","NATIVE VILLAGE OF GAKONA"
"5056","GAKONA"
"5057","NATIVE VILLAGE OF KLUTI KAAH (COPPER CENTER)"
"5057","COPPER CENTER"
"5057","KLUTI KAAH"
"5057","NATIVE VILLAGE OF KLUTI KAAH"
"5058","NATIVE VILLAGE OF MINTO"
"5058","MINTO"
"5058","SETH-DE-YA-HA CORP."
"5059","NATIVE VILLAGE OF RUBY"
"5059","DINEEGA CORP."
"5060","NATIVE VILLAGE OF STEVENS"
"5060","DINYEA CORP."
"5060","STEVENS VILLAGE"
"5061","NATIVE VILLAGE OF TANACROSS"
"5061","TANACROSS"
"5061","TANACROSS, INC."
"5062","NATIVE VILLAGE OF TANANA"
"5062","TANANA"
"5062","TOZITNA, LTD."
"5063","NATIVE VILLAGE OF TAZLINA"
"5063","TAZLINA"
"5063","TAZLINA VILLAGE COUNCIL"
"5064","NATIVE VILLAGE OF TETLIN"
"5064","TETLIN"
"5064","TETLIN NATIVE CORP."
"5065","NATIVE VILLAGE OF TYONEK"
"5065","TYONEK"
"5065","TYONEK NATIVE CORP."
"5066","NENANA NATIVE ASSOCIATION"
"5066","NENANA"
"5066","TOGHOTTHELE CORP."
"5067","NIKOLAI VILLAGE"
"5067","EDZENO NIKOLAI"
"5068","NINILCHIK VILLAGE"
"5068","NINILCHIK"
"5068","NINILCHIK NATIVE ASSN., INC."
"5068","NINILCHIK VILLAGE TRADITIONAL COUNCIL"
"5069","NONDALTON VILLAGE"
"5069","NONDALTON"
"5069","NONDALTON TRIBAL COUNCIL"
"5069","KIJIK CORP."
"5070","NORTHWAY VILLAGE"
"5070","NORTHWAY"
"5070","NORTHWAY NATIVES, INC."
"5070","NORTHWAY VILLAGE COUNCIL"
"5071","NULATO VILLAGE"
"5071","NULATO"
"5071","NULATO TRIBAL COUNCIL"
"5072","ORGANIZED VILLAGE OF GRAYLING (HOLIKACHUK)"
"5072","GRAYLING"
"5072","HEE-YEA-LINDGE CORP."
"5072","HOLIKACHUK"
"5072","ORGANIZED VILLAGE OF GRAYLING"
"5073","PEDRO BAY VILLAGE"
"5073","PEDRO BAY"
"5073","PEDRO BAY CORP."
"5074","RAMPART VILLAGE"
"5074","BAAN O YEEL KON CORP."
"5074","RAMPART"
"5075","SELDOVIA VILLAGE TRIBE"
"5075","SELDOVIA"
"5075","SELDOVIA NATIVE ASSN., INC."
"5076","SHAGELUK NATIVE VILLAGE"
"5076","SHAGELUK"
"5076","ZHO-TSE, INC."
"5078","TAKOTNA VILLAGE"
"5078","TAKOTNA"
"5080","TELIDA VILLAGE"
"5080","TELIDA"
"5082","VILLAGE OF DOT LAKE"
"5082","DOT LAKE"
"5082","DOT LAKE NATIVE CORP."
"5083","VILLAGE OF ILIAMNA"
"5083","ILIAMNA"
"5083","ILIAMNA NATIVES, LTD."
"5084","VILLAGE OF KALTAG"
"5084","KALTAG"
"5085","SALAMATOF TRIBE"
"5085","SALAMATOF"
"5085","SALAMATOF NATIVE ASSN., INC."
"5085","VILLAGE OF SALAMATOF"
"5086","VILLAGE OF STONY RIVER"
"5086","STONY RIVER"
"5089","KENAITZE INDIAN TRIBE"
"5089","KENAITZE"
"5089","KENAI NATIVE ASSN., INC"
"5090","NATIVE VILLAGE OF VENETIE TRIBAL GOVERNMENT"
"5090","VENETIE IRA"
"5090","VENETIE TRIBAL GOVERNMENT"
"5091","ARCTIC VILLAGE"
"5091","NEETS'AI CORP."
"5092","VILLAGE OF VENETIE"
"5092","VENETIE"
"5120","ALEUT"
"5120","ALEUTIAN"
"5120","AMERICAN ALEUT"
"5121","AGDAAGUX TRIBE OF KING COVE"
"5121","AGDAAGUX"
"5121","KING COVE CORP."
"5121","KING COVE TRIBE"
"5122","ALEUT CORPORATION"
"5123","ALUTIIQ"
"5125","CHIGNIK BAY TRIBAL COUNCIL"
"5125","CHIGNIK"
"5125","CHIGNIK BAY"
"5125","CHIGNIK BAY TRIBAL COUNCIL (NATIVE VILLAGE OF CHIGNIK)"
"5125","FAR WEST, INC."
"5125","NATIVE VILLAGE OF CHIGNIK"
"5126","CHIGNIK LAKE VILLAGE"
"5126","CHIGNIK LAKE"
"5126","CHIGNIK RIVER LTD."
"5128","CHUGACH ALASKA CORPORATION"
"5128","CHUGACH"
"5128","CHUGACH ALEUT"
"5128","CHUGACH CORPORATION"
